split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_all
0.8859096397109302,0.8804030941868679,0.8946403984561049,0.886984377451301,0.005861825888557328,9,0.6843233634230764,0.6790809842680151,0.691081884038218,0.6848287439097698,0.0049123623577570046,7,0.4084333578745524,0.03306604623191705,0.22682499885559082,0.01679899964360709,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.02}",50,0.002,0.02
0.9014186617855589,0.8942582168416563,0.9075621712502616,0.9010796832924922,0.00543660313925485,16,0.6998028525286665,0.693144306445063,0.7038689214268264,0.698938693466852,0.004420740495275534,16,0.48502635955810547,0.025320115534597076,0.2352162996927897,0.0036725402819395205,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.5}",50,0.002,0.5
0.8749185036583318,0.8710679198850018,0.8860599003011677,0.8773487746148337,0.006357123662537332,1,0.6738335766323161,0.669640237941656,0.6814830781587466,0.6749856309109062,0.004902967665778116,1,0.5155591169993082,0.002467069257038822,0.2365384896596273,0.005161127132629423,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.02}",50,0.005,0.02
0.8905381014192145,0.8834280081651255,0.89731654570478,0.89042755176304,0.005670510539475779,12,0.690084676022224,0.6833925273017928,0.694761353030993,0.6894128521183366,0.00466555178112992,13,0.5259257157643636,0.014831604271537142,0.22303024927775064,0.007678727152398253,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.5}",50,0.005,0.5
0.8841646021119225,0.8793008333703547,0.8941481144569313,0.8858711833130695,0.006180331893085531,4,0.6799012376399749,0.6757558588346629,0.6864114846899897,0.6806895270548758,0.004385707145064953,3,0.5202135245005289,0.03348042816247769,0.22233192125956217,0.002962480684407519,"{'n_factors': 50, 'lr_all': 0.01, 'reg_all': 0.02}",50,0.01,0.02
0.8864870268857992,0.8794461778112481,0.8940117684725949,0.8866483243898807,0.005947471198870731,6,0.6865267484453812,0.6802373156008769,0.6919284785447916,0.6862308475303499,0.004777481258217441,8,0.467731237411499,0.011211204509609312,0.2078864574432373,0.004546504467850394,"{'n_factors': 50, 'lr_all': 0.01, 'reg_all': 0.5}",50,0.01,0.5
0.8883240916812104,0.8836699744805326,0.8977297230680809,0.8899079297432747,0.005848107377114897,11,0.68631636000026,0.6817505916915053,0.6938906411013638,0.6873191975977097,0.005006626432612102,11,0.7772069772084554,0.03192288645971139,0.27736814816792804,0.004767340605596321,"{'n_factors': 100, 'lr_all': 0.002, 'reg_all': 0.02}",100,0.002,0.02
0.90152665993532,0.894582025013124,0.9077721956304372,0.9012936268596271,0.005387385175217709,17,0.6999680094734114,0.6934031459802289,0.7040631114578674,0.6991447556371693,0.004390673916023723,18,0.9274268945058187,0.03768393123705797,0.268982728322347,0.002322286910996244,"{'n_factors': 100, 'lr_all': 0.002, 'reg_all': 0.5}",100,0.002,0.5
0.878993332136981,0.8727914088537133,0.890159475122374,0.8806480720376895,0.0071863785308222735,2,0.6771938485323472,0.6707080864808138,0.685075446605049,0.6776591272060699,0.005874670057006441,2,0.9759883085886637,0.017481598952853252,0.272380272547404,0.007750015512478252,"{'n_factors': 100, 'lr_all': 0.005, 'reg_all': 0.02}",100,0.005,0.02
0.8906277602414777,0.8834484441356606,0.8974264339008414,0.8905008794259932,0.005707195664239927,13,0.6901700553756236,0.6834230001857634,0.6948294009166647,0.6894741521593506,0.004682570901637305,14,0.9364232222239176,0.019642811113275833,0.2736656665802002,0.0019374901939114323,"{'n_factors': 100, 'lr_all': 0.005, 'reg_all': 0.5}",100,0.005,0.5
0.8873983333215489,0.8811481096964253,0.8951018770403495,0.8878827733527745,0.005706891587077364,10,0.6837089678777877,0.6757084457457916,0.6873475704302834,0.6822549946846209,0.004861607031296154,6,0.9392988681793213,0.019960883213663363,0.2708102862040202,0.0036822438581191256,"{'n_factors': 100, 'lr_all': 0.01, 'reg_all': 0.02}",100,0.01,0.02
0.8865412225974181,0.8794780547694095,0.8940100657791074,0.8866764477153116,0.00593343915846881,8,0.6865649251477924,0.6802355615639545,0.6919204984250578,0.6862403283789349,0.004775874067208857,9,0.9824070930480957,0.0054948822426093315,0.27961182594299316,0.005004151720097697,"{'n_factors': 100, 'lr_all': 0.01, 'reg_all': 0.5}",100,0.01,0.5
0.8897556950317601,0.8854368042229418,0.8997991792291148,0.8916638928279389,0.00601666397468962,15,0.6871633697165498,0.6830512408440216,0.6952363749620798,0.6884836618408837,0.005061406381560383,12,1.4020086924235027,0.04327801232472416,0.3296550114949544,0.013141422705681088,"{'n_factors': 150, 'lr_all': 0.002, 'reg_all': 0.02}",150,0.002,0.02
0.9016402610960791,0.8947629513765328,0.9076847765331213,0.901362663001911,0.005278963715905796,18,0.6999093279674882,0.6935019799598737,0.7039847658871369,0.6991320246048329,0.0043147306279305506,17,1.5666279792785645,0.017335546040789736,0.33104562759399414,0.02425003143410383,"{'n_factors': 150, 'lr_all': 0.002, 'reg_all': 0.5}",150,0.002,0.5
0.8825651498908592,0.8792944585973285,0.8907550161722453,0.884204874886811,0.004820277898541923,3,0.6796467798296342,0.676147059679661,0.6865181569576347,0.6807706654889767,0.0043079193677656126,4,1.7022493680318196,0.06435302148849494,0.31924692789713544,0.017431154318365883,"{'n_factors': 150, 'lr_all': 0.005, 'reg_all': 0.02}",150,0.005,0.02
0.8905975949176597,0.8835566970516731,0.8975517958017348,0.8905686959236893,0.005713511682546006,14,0.6901083736823203,0.6835433592513499,0.6949326254517786,0.6895281194618162,0.004667716598535543,15,1.7315557797749836,0.08151979603539171,0.2653768062591553,0.002025156499580254,"{'n_factors': 150, 'lr_all': 0.005, 'reg_all': 0.5}",150,0.005,0.5
0.88527468668282,0.8784655506550542,0.8947917881703242,0.8861773418360661,0.006695650209676646,5,0.6813032414025489,0.6754652509129675,0.6876126968792138,0.6814603963982435,0.004960418943679527,5,1.5289052327473958,0.07776493063364105,0.19911917050679526,0.0031517336459819254,"{'n_factors': 150, 'lr_all': 0.01, 'reg_all': 0.02}",150,0.01,0.02
0.886529795900432,0.8794685710509783,0.894000320779801,0.8866662292437372,0.005933346334526487,7,0.6865576290016943,0.680243246020654,0.6919280182076998,0.686242964410016,0.0047754745397521605,10,1.2481857935587566,0.07610414839505912,0.1557455062866211,0.008040742964507824,"{'n_factors': 150, 'lr_all': 0.01, 'reg_all': 0.5}",150,0.01,0.5
