split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_sim_options
0.9956492710801493,0.9889433274237608,0.9956853673117362,0.9934259886052154,0.00316975437379344,9,0.7759530099799704,0.7709020042038932,0.7763676030271025,0.7744075390703221,0.002484559367170729,9,16.181392192840576,0.41912382590906516,8.103229840596518,0.12067396541668735,"{'k': 20, 'sim_options': {'name': 'cosine', 'user_based': False}}",20,"{'name': 'cosine', 'user_based': False}"
0.9879876805591395,0.9811088042897413,0.9922205464328078,0.9871056770938962,0.004579021070638392,8,0.767517442185993,0.7602406218583296,0.7691706275404493,0.765642897194924,0.0038791484944790747,8,20.547193845113117,0.44192099560658377,8.366329987843832,0.2151009566458318,"{'k': 20, 'sim_options': {'name': 'pearson', 'user_based': False}}",20,"{'name': 'pearson', 'user_based': False}"
0.9265919450061898,0.9197071610879732,0.927079153593561,0.924459419895908,0.003366235868651831,3,0.7145846116779476,0.708354737469924,0.7139138904360085,0.7122844131946268,0.002792159286536213,3,5.031813780466716,1.3678079653044406,8.20992382367452,0.04313339997152482,"{'k': 20, 'sim_options': {'name': 'msd', 'user_based': False}}",20,"{'name': 'msd', 'user_based': False}"
0.9792471914339202,0.970779360523696,0.9776277692984543,0.9758847737520235,0.00367011036956617,7,0.7631519519717738,0.7559103489129172,0.7609849682060157,0.7600157563635689,0.0030347687898931784,7,6.967642704645793,0.400199827511656,9.131739139556885,0.1418029966359791,"{'k': 40, 'sim_options': {'name': 'cosine', 'user_based': False}}",40,"{'name': 'cosine', 'user_based': False}"
0.9736629317187329,0.9676913216521962,0.9792251480709901,0.9735264671473064,0.004709653554077935,6,0.7551612271854551,0.7488738129992119,0.7577991917572692,0.7539447439806454,0.0037439257501881906,6,10.396225214004517,0.4286322928745917,9.353218714396158,0.25842675244873436,"{'k': 40, 'sim_options': {'name': 'pearson', 'user_based': False}}",40,"{'name': 'pearson', 'user_based': False}"
0.9155518607204814,0.9091831096942576,0.9161486526278105,0.9136278743475166,0.003152352535520962,2,0.7054278089773547,0.6992218528824019,0.7044172173921006,0.7030222930839525,0.002718802816463828,2,4.079149166742961,0.07757317898836491,9.896262248357138,0.18667821143549346,"{'k': 40, 'sim_options': {'name': 'msd', 'user_based': False}}",40,"{'name': 'msd', 'user_based': False}"
0.9718841465573727,0.9626081912456219,0.9700498602674964,0.9681807326901636,0.004010907225857887,5,0.756759934401011,0.749117646937583,0.7540391494810912,0.7533055769398951,0.003162776830920878,5,7.250017325083415,0.4595605345633355,11.89091952641805,0.3976147696277433,"{'k': 60, 'sim_options': {'name': 'cosine', 'user_based': False}}",60,"{'name': 'cosine', 'user_based': False}"
0.9679883168675694,0.9624272363173922,0.9737592044319372,0.9680582525389663,0.004626520909269814,4,0.7497006407532465,0.7433172883659876,0.7525850047188213,0.7485343112793518,0.003872370930097957,4,10.139731327692667,0.042591153995780326,11.953377803166708,0.302658666086052,"{'k': 60, 'sim_options': {'name': 'pearson', 'user_based': False}}",60,"{'name': 'pearson', 'user_based': False}"
0.9138492206343577,0.9072175701558357,0.914768221182502,0.9119450039908985,0.0033637888856213466,1,0.703592240596325,0.6973409771712953,0.7027998822694442,0.7012443666790215,0.00277900403817802,1,3.926499525705973,0.2760234842656807,10.729247331619263,1.415338618639436,"{'k': 60, 'sim_options': {'name': 'msd', 'user_based': False}}",60,"{'name': 'msd', 'user_based': False}"
